Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.7,322685,13,24821.9,22592.0,21760,32767,3782.9,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
0.7,319707,11,29064.3,24511.0,23744,35615,5764.1,turing_fp16_s1688gemm_fp16_128x64_sliced1x2_ldg8_f2f_nn
0.7,307900,3,102633.3,102270.0,101887,103743,979.9,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna2_alignc4_execute_kernel__5x_cudnn
0.6,272924,2,136462.0,136462.0,136318,136606,203.6,_5x_cudnn_volta_fp16_scudnn_fp16_128x64_relu_medium_nn_v1
0.6,254140,4,63535.0,63295.0,42687,84863,24021.7,_5x_cudnn_volta_fp16_s884cudnn_fp16_256x128_ldg8_relu_f2f_exp_medium_nhwc2nchw_tn_v1
0.6,251454,2,125727.0,125727.0,125567,125887,226.3,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x16x64_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna2_alignc4_execute_kernel__5x_cudnn
0.5,228413,49,4661.5,3937.0,3455,9696,1678.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.5,225950,2,112975.0,112975.0,112735,113215,339.4,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x16x32_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna2_alignc8_execute_kernel__5x_cudnn
0.5,216189,2,108094.5,108094.5,107806,108383,408.0,sm75_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x256x64_stage1_warpsize1x4x2_g1_tensor16x8x8_execute_kernel__5x_cudnn
0.4,194462,2,97231.0,97231.0,97215,97247,22.6,sm75_xmma_fprop_image_first_layer_f16f16_f32_f16_nhwckrsc_nhwc_hmma_k64c4r7s7_stride2x2_tile16x64x64_tensor1688_execute_kernel_kernel__5x_cudnn
0.4,180382,2,90191.0,90191.0,90015,90367,248.9,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x16_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna2_alignc8_execute_kernel__5x_cudnn
